"        ","perf_antperf_1","   ","perf_antperf_2","   "
"        ","    b/se","   ","    b/se","   "
"Referral test score","        ","   ","        ","   "
"OP's Anticipated Performance: Puzzle","0.190177","** ","0.025035","   "
"        ","0.089824","   ","0.082024","   "
"Observations","     280","   ","     225","   "
"fstat   ","13.90789","   ","4.123934","   "
"ncens   ","      78","   ","      77","   "
